"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R4,R3,R2,R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"220R";;;
2;"J5";"PinHeader_1x14_P1.00mm_Vertical";1;"Conn_01x14_Pin";;;
3;"I/O1,GND1,+5V1";"PinHeader_1x07_P1.00mm_Horizontal";3;"Conn_01x07_Pin";;;
4;"J7";"PinHeader_1x01_P1.00mm_Vertical";1;"Conn_01x01_Pin";;;
5;"Arduino_Nano1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
6;"J6";"PinHeader_1x08_P1.00mm_Vertical";1;"Conn_01x08_Pin";;;
7;"Display1";"PinHeader_1x04_P1.00mm_Horizontal";1;"Conn_01x04";;;
